iter	Passed	Remaining
406	6395	40743
407	6410	40728
408	6425	40703
409	6441	40690
410	6456	40672
411	6472	40655
412	6486	40631
413	6500	40605
414	6515	40581
415	6532	40576
416	6547	40555
417	6562	40533
418	6578	40521
419	6592	40497
420	6607	40477
421	6622	40458
422	6637	40435
423	6651	40412
424	6666	40391
425	6681	40373
426	6696	40352
427	6712	40339
428	6727	40318
429	6741	40293
430	6756	40271
431	6770	40245
432	6785	40226
433	6800	40207
434	6814	40184
435	6829	40164
436	6844	40145
437	6859	40121
438	6872	40094
439	6888	40079
440	6902	40053
441	6917	40032
442	6932	40012
443	6947	39994
444	6962	39974
445	6976	39951
446	6991	39931
447	7006	39911
448	7021	39894
449	7036	39874
450	7051	39854
451	7067	39842
452	7082	39822
453	7097	39803
454	7113	39785
455	7128	39767
456	7143	39748
457	7159	39736
458	7174	39716
459	7188	39693
460	7204	39678
461	7219	39658
462	7234	39643
463	7250	39625
464	7265	39608
465	7280	39588
466	7295	39568
467	7309	39548
468	7324	39527
469	7340	39512
470	7355	39493
471	7369	39470
472	7384	39450
473	7398	39427
474	7412	39404
475	7427	39386
476	7443	39370
477	7458	39353
478	7474	39339
479	7489	39322
480	7504	39298
481	7520	39287
482	7535	39267
483	7549	39246
484	7565	39229
485	7579	39208
486	7595	39191
487	7610	39173
488	7652	39294
489	7666	39272
490	7681	39253
491	7696	39235
492	7713	39226
493	7727	39202
494	7743	39186
495	7758	39167
496	7773	39146
497	7787	39127
498	7803	39111
499	7817	39086
500	7833	39071
501	7847	39050
502	7861	39027
503	7877	39009
504	7891	38989
505	7905	38965
506	7921	38950
507	7936	38932
508	7951	38914
509	7967	38902
510	7982	38880
511	7996	38860
512	8012	38843
513	8027	38825
514	8042	38805
515	8057	38786
516	8072	38767
517	8086	38748
518	8102	38732
519	8117	38713
520	8131	38691
521	8148	38681
522	8162	38660
523	8177	38638
524	8192	38620
525	8206	38597
526	8221	38580
527	8236	38561
528	8273	38643
529	8289	38630
530	8304	38615
531	8321	38602
532	8337	38590
533	8353	38574
534	8370	38564
535	8387	38555
536	8401	38533
537	8418	38525
538	8433	38504
539	8447	38484
540	8463	38469
541	8478	38451
542	8493	38431
543	8508	38413
544	8523	38396
545	8538	38376
546	8552	38354
547	8568	38339
548	8583	38319
549	8599	38305
550	8614	38287
551	8628	38265
552	8644	38250
553	8659	38231
554	8673	38211
555	8689	38196
556	8705	38182
557	8719	38160
558	8736	38149
559	8752	38136
560	8768	38122
561	8785	38110
562	8801	38098
563	8817	38083
564	8833	38070
565	8848	38050
566	8864	38039
567	8881	38029
568	8896	38010
